country,site,latitude,longitude
Fiji,SOL002,-17.09148276,178.7788483
Fiji,SOL003,-17.08747731,178.7785938
Fiji,SOL004,-17.0930191,178.785561
Fiji,SOL005,-17.09121123,178.7883519
Fiji,SOL006,-17.09089016,178.7910955
Fiji,SOL007,-17.097643,178.797611
Fiji,SOL008,-17.093721,178.797855
Fiji,SOL009,-17.09107596,178.7989416
Fiji,SOL010,-17.10324043,178.8043404
Fiji,SOL012,-17.09637033,178.8054584
Fiji,SOL013,-17.09066817,178.8079022
Fiji,SOL014,-17.08766966,178.8036246
Fiji,SOL015,-17.08578061,178.8119751
Fiji,SOL016,-17.08183199,178.8094918
Fiji,SOL017,-17.08578061,178.819578
Fiji,SOL018,-17.08257432,178.8184802
Fiji,SOL019,-17.08876745,178.8269094
Fiji,SOL021,-17.08116685,178.8238992
Fiji,SOL022,-17.08821234,178.8455915
Fiji,SOL023,-17.08469448,178.8388568
Fiji,SOL024,-17.08306529,178.8453735
Fiji,SOL025,-17.08523754,178.8559632
Fiji,SOL026,-17.07838168,178.864164
Fiji,SOL027,-17.06867413,178.8651953
Fiji,SOL028,-17.06487269,178.8730697
Fiji,SOL029,-17.06344948,178.8907002
Fiji,SOL030,-17.05699827,178.8836594
Fiji,SOL031,-17.01453925,178.7704546
Fiji,SOL033,-16.98151254,178.7992132
Fiji,SOL034,-17.01898388,178.8396713
Fiji,SOL035,-17.01681162,178.8377706
Fiji,SOL111,-17.09916913,178.8058997
Fiji,SOL120,-17.081489,178.823896
Fiji,SOL132,-16.99997668,178.7929679
Fiji,WAL001,-16.82239513,179.0647709
Fiji,WAL002,-16.8264681,179.0824204
Fiji,WAL003,-16.8308126,179.091381
Fiji,WAL004,-16.84357458,179.1163619
Fiji,WAL007,-16.83297175,179.1202915
Fiji,WAL008,-16.83649677,179.1349619
Fiji,WAL009,-16.82454117,179.1350975
Fiji,WAL010,-16.82145165,179.1188595
Fiji,WAL012,-16.80067262,179.1109312
Fiji,WAL013,-16.82945495,179.1541047
Fiji,WAL014,-16.8264681,179.1516609
Fiji,WAL015,-16.81289153,179.1413428
Fiji,WAL016,-16.82701116,179.1663236
Fiji,WAL017,-16.82673963,179.1760988
Fiji,WAL018,-16.82518009,179.1999935
Fiji,WAL019,-16.8160516,179.1593566
Fiji,WAL020,-16.79924293,179.1493956
Fiji,WAL021,-16.79469892,179.1470449
Fiji,WAL022,-16.78872577,179.1525273
Fiji,WAL023,-16.79144055,179.1288523
Fiji,WAL024,-16.78953983,179.1204348
Fiji,WAL025,-16.77297641,179.1234217
Fiji,WAL026,-16.76455894,179.130753
Fiji,WAL028,-16.77053263,179.1462303
Fiji,WAL029,-16.76890344,179.1565485
Fiji,WAL031,-16.75652101,179.1505874
Fiji,WAL040,-16.72676362,179.1729849
Fiji,WAL041,-16.717584,179.1866885
Fiji,WAL042,-16.70998112,179.1961921
Fiji,WAL043,-16.70482202,179.204338
Fiji,WAL045,-16.70279199,179.2181861
Fiji,WAL047,-16.70237824,179.2409948
Fiji,WAL049,-16.786569,179.129152
Fiji,WAL105,-16.837303,179.116745
Fiji,WAL106,-16.840114,179.11005
Fiji,WAL111,-16.806726,179.092997
